1;1;2;-1;-1
2;3;4;-1;-1
3;1;3;-1;-1
4;4;2;-1;-1
5;4;1;-1;-1
6;2;3;-1;-1
7;5;6;-1;-1
8;7;8;-1;-1
9;8;6;-1;-1
10;5;7;-1;-1
11;8;5;-1;-1
12;6;7;-1;-1
13;9;10;-1;-1
14;11;12;-1;-1
15;9;11;-1;-1
16;12;10;-1;-1
17;12;9;-1;-1
18;10;11;-1;-1
19;13;14;-1;-1
20;15;16;-1;-1
21;13;15;-1;-1
22;16;14;-1;-1
23;16;13;-1;-1
24;14;15;-1;-1
25;17;18;-1;-1
26;19;20;-1;-1
27;17;19;-1;-1
28;20;18;-1;-1
29;20;17;-1;-1
30;18;19;-1;-1
31;21;22;-1;-1
32;23;24;-1;-1
33;21;23;-1;-1
34;24;22;-1;-1
35;24;21;-1;-1
36;22;23;-1;-1
37;25;26;-1;-1
38;27;28;-1;-1
39;25;27;-1;-1
40;28;26;-1;-1
41;28;25;-1;-1
42;26;27;-1;-1
43;29;30;-1;-1
44;31;32;-1;-1
45;29;31;-1;-1
46;32;30;-1;-1
47;32;29;-1;-1
48;30;31;-1;-1
49;-1;-1;-1;-1
50;-1;-1;-1;-1
51;-1;-1;-1;-1
52;-1;-1;-1;-1
53;-1;-1;-1;-1
54;-1;-1;-1;-1
55;-1;-1;-1;-1
56;-1;-1;-1;-1
57;-1;-1;-1;-1
58;-1;-1;-1;-1
59;-1;-1;-1;-1
60;-1;-1;-1;-1
61;-1;-1;-1;-1
62;-1;-1;-1;-1
63;-1;-1;-1;-1
64;-1;-1;-1;-1
